Modality,Model,Accuracy,F1 Score,Log Loss
CT,Random Forest,1.0,1.0,0.018925285878534544
CT,SVM,0.8807339449541285,0.8169014084507042,0.38559217477920754
CT,Logistic Regression,0.8073394495412844,0.7341772151898734,0.38861229103834916
CT,KNN,0.926605504587156,0.8947368421052632,0.15086854685431542
CT,Gradient Boosting,1.0,1.0,0.0069990096452217515
CT,Naive Bayes,0.7798165137614679,0.5384615384615384,0.3889377874972961
PET,Random Forest,1.0,1.0,0.03746859177218111
PET,SVM,0.7363636363636363,0.6588235294117647,0.5359041933727043
PET,Logistic Regression,0.5545454545454546,0.36363636363636365,0.6725123763652049
PET,KNN,0.9636363636363636,0.9459459459459459,0.1370924151073437
PET,Gradient Boosting,1.0,1.0,0.05943615134188941
PET,Naive Bayes,0.6090909090909091,0.3582089552238806,0.7262902205871061
